COUNT,MAX,HTTPS,Result,Details,UpdatedURL
24,279195,https://www.thoughtco.com/classic-literature-4133245,Success,,
23,269136,https://www.learnthat.org/pages/view/roots.html,Success,,
20,271082,https://poets.org/poem/do-not-go-gentle-good-night,Success,,
20,275860,https://www.mathgoodies.com/lessons/vol6/independent_events.html,404,"('Not Found', 'Nothing matches the given URI')",
20,243314,https://www.youtube.com/watch?feature=youtu.be&v=p04_wl6-dvw,Success,,
19,277705,https://connect.discoveryeducation.com/index.cfm?&cdpartner=ba34-27gq&cduser=26da-9267&guidassetid=8772dfcf-554e-4f5a-b9e1-b0c70e7db8de&amp;cdPartner=BA34-27GQ&amp;cdUser=26DA-9267,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=8772dfcf-554e-4f5a-b9e1-b0c70e7db8de
19,279127,https://www.aresearchguide.com/1steps.html,Success,,
19,280747,https://www.freedomforuminstitute.org/first-amendment-center/,Success,,
19,303837,https://www.thesaurus.com/,Success,,
19,270781,https://www.umgc.edu/current-students/learning-resources/writing-center/online-guide-to-writing/tutorial/chapter2/ch2-19.html,Success,,
18,277535,https://articlesbase.com/writing/,Success,,
18,283940,https://au-sas.bbcollab.com/site/external/launch/meeting.jnlp?sid=2011240&amp;password=M.4832A8C1A58084C7E044499B8D1F53,Success,,
18,247301,https://en.wikipedia.org/wiki/Concentration,Success,,
18,270194,https://leo.stcloudstate.edu/grammar/subverag.html,Success,,
18,264141,https://media@media.edisonlearning.com/MS/LessonVids/EL006/OpenInNewWindow.png,Failed,Failed to establish a connection,
18,273633,https://nces.ed.gov/nceskids/createagraph/default.aspx,Success,,
18,238757,https://pacolscience.wordpress.com/,Success,,
18,279311,https://thoreau.eserver.org/walden00.html,Failed,Failed to establish a connection,
18,270631,https://writingtips.wordpress.com/2008/09/22/prepositional-phrase-adverbial-phrase/,Success,,
18,281070,https://www.aaamath.com/equ725x7.htm,Success,,
18,254032,https://www.cse.cuhk.edu.hk/~cslui/english_writing2.pdf,Success,,
18,304029,https://www.easybib.com/mla8/source,Success,,
18,220876,https://www.provostacademy.com/faq.html#Q22,404,"('Not Found', 'Nothing matches the given URI')",
18,275480,https://www.purplemath.com/modules/coinprob.htm,Success,,
18,243337,https://www.youtube.com/watch?feature=youtu.be&v=slq5ldp7i5Y,Success,,
18,130461,https://www2.ed.gov/parents/needs/speced/iepguide/index.html,Success,,
17,254009,https://www.geocities.com/fifth_grade_tpes/persuasive.html,400,"('Bad Request', 'Bad request syntax or unsupported method')",
17,280909,https://www.mathgoodies.com/lessons/vol6/intro_probability.html,404,"('Not Found', 'Nothing matches the given URI')",
17,130827,https://www.provostacademy.com/program.html,404,"('Not Found', 'Nothing matches the given URI')",
17,271173,https://www.thoughtco.com/best-research-paper-topic-ideas-169850,Success,,
17,243314,https://www.youtube.com/watch?feature=youtu.be&v=jrkp4e7szso,Success,,
16,217971,https://celt.ucc.ie//published/E850003-002/,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://celt.ucc.ie/published/E850003-002/
16,259685,https://en.wikipedia.org/wiki/Greek_and_latin_roots_in_english,Success,,
16,278437,https://public.wsu.edu/~campbelld/engl494/winterdreams.pdf,Success,,
16,254836,https://www.jenreviews.com/fitt-principle/,Success,,
16,258979,https://www.mheducation.com/highered/contact.html,Success,,
16,253981,https://www.nobelprize.org/prizes/peace/1979/teresa/lecture/,Success,,
16,280867,https://www.nyu.edu/pages/mathmol/textbook/scinot.html,403,"('Forbidden', 'Request forbidden -- authorization will not help')",
16,220884,https://www.provostacademy.com/faq.html#Q24,404,"('Not Found', 'Nothing matches the given URI')",
16,254032,https://www.rochester.edu/news/styleguide/grammar.html,Success,,
16,276356,https://www.st-andrews.ac.uk/~www_pa/Scots_Guide/info/signals/complex/cmplx.html,Success,,
16,249155,https://www.webelements.com/,Success,,
16,289567,https://www.yoanaj.co.il/uploadImages/UserFiles/352.pdf,404,"('Not Found', 'Nothing matches the given URI')",
15,277535,https://art-bin.com/art/omodest.html,Success,,
15,279437,https://arts.uottawa.ca/writingcentre/en/hypergrammar,Success,,
15,282287,https://connect.discoveryeducation.com/index.cfm?&cdpartner=ba34-27gq&cduser=26da-9267&guidassetid=0412a2de-a6a8-49d5-b94b-622266471cc8&amp;cdPartner=BA34-27GQ&amp;cdUser=26DA-9267,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=0412a2de-a6a8-49d5-b94b-622266471cc8
15,239298,https://edisonlearning.com/wp-signup.php?new=common,Success,,
15,279453,https://essayinfo.com/essays/narrative-essay/,Success,,
15,277170,https://findarticles.com/?noadc=1,Success,,
15,247562,https://ptable.com/,Success,,
15,254147,https://www.english-the-easy-way.com/,Success,,
15,272594,https://www.mathsisfun.com/quadrilaterals.html,Success,,
15,275509,https://www.purplemath.com/modules/syslneq.htm,Success,,
15,282292,https://www.senate.gov/pagelayout/committees/d_three_sections_with_teasers/committees_home.htm,Success,,
14,119690,https://caola.caiu.org/Instruction-Support.aspx,404,"('Not Found', 'Nothing matches the given URI')",
14,279240,https://connect.discoveryeducation.com/index.cfm?&cdpartner=ba34-27gq&cduser=26da-9267&guidassetid=12d3caba-cedb-4ba8-a220-01bc67bf21cb&amp;cdPartner=BA34-27GQ&amp;cdUser=26DA-9267,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=12d3caba-cedb-4ba8-a220-01bc67bf21cb
14,277595,https://connect.discoveryeducation.com/index.cfm?&cdpartner=ba34-27gq&cduser=26da-9267&guidassetid=68ffb2a2-635f-4bd1-9615-f62a78bfeb1c&amp;cdPartner=BA34-27GQ&amp;cdUser=26DA-9267,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=68ffb2a2-635f-4bd1-9615-f62a78bfeb1c
14,91537,https://en.wikipedia.org/wiki/China,Success,,
14,282362,https://www.aclu.org/,Success,,
14,302949,https://www.bartleby.com/102/84.html,Success,,
14,254493,https://www.classicshorts.com/stories/sniper.html,Success,,
14,272084,https://www.coolmath.com/reference/circles-geometry.html,404,"('Not Found', 'Nothing matches the given URI')",
14,123412,https://www.corp.att.com/attconnect-support/,Success,,
14,278943,https://www.gutenberg.org/files/245/245-h/245-h.htm,Success,,
14,282292,https://www.house.gov/committees/,Success,,
14,275535,https://www.mathsisfun.com/straight-line-graph-calculate.html,Success,,
14,243317,https://www.ondemandinstruction.net/wp-content/uploads/2012/09/Example-Research-Paper.pdf,404,"('Not Found', 'Nothing matches the given URI')",
14,278497,https://www.online-literature.com/hawthorne/130/,Success,,
14,130818,https://www.provostacademy.com/faq.html,404,"('Not Found', 'Nothing matches the given URI')",
14,275535,https://www.purplemath.com/modules/absineq.htm,Success,,
14,243314,https://www.youtube.com/watch?v=-r930rt0mtc&feature=youtu.be,Success,,
14,243314,https://www.youtube.com/watch?v=-r930rt0mtc&feature=youtu.be ,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://www.youtube.com/watch?v=-r930rt0mtc&feature=youtu.be
14,243314,https://www.youtube.com/watch?v=4m69a8nrrgs&feature=youtu.be,Success,,
14,243314,https://www.youtube.com/watch?v=4m69a8nrrgs&feature=youtu.be ,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://www.youtube.com/watch?v=4m69a8nrrgs&feature=youtu.be
14,243314,https://www.youtube.com/watch?v=drc7xmeseee&feature=youtu.be,Redirected,URL should be updated to match Redirected URL,https://www.youtube.com/watch?feature=youtu.be&v=drc7xmeseec
13,303482,https://blueplanetbiomes.org/climate.php,Success,,
13,277783,https://connect.discoveryeducation.com/index.cfm?&cdpartner=ba34-27gq&cduser=26da-9267&guidassetid=8d5558f8-7daf-47e4-b59c-e138a59897f4&amp;cdPartner=BA34-27GQ&amp;cdUser=26DA-9267,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=8d5558f8-7daf-47e4-b59c-e138a59897f4
13,278646,https://connect.discoveryeducation.com/index.cfm?&cdpartner=ba34-27gq&cduser=26da-9267&guidassetid=f1ae57ea-4c7a-4ee8-992d-b6da678bbddf&amp;cdPartner=BA34-27GQ&amp;cdUser=26DA-9267,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=f1ae57ea-4c7a-4ee8-992d-b6da678bbddf
13,271330,https://owl.purdue.edu/redirect.html,Success,,
13,304024,https://prezi.com/,Success,,
13,249288,https://web.ornl.gov/sci/techresources/Human_Genome/redirect.shtml,Success,,
13,302862,https://www.bartleby.com/102/107.html,Success,,
13,279233,https://www.bartleby.com/113/4027.html,Success,,
13,254747,https://www.bookbrowse.com/excerpts/index.cfm?book_number=392&amp;page_number=1,Success,,
13,278927,https://www.cnn.com,Success,,
13,303187,https://www.dictionary.com/,Success,,
13,217685,https://www.gutenberg.org/files/768/768-h/768-h.htm,Success,,
13,275909,https://www.mathsisfun.com/combinatorics/combinations-permutations.html,Success,,
13,278797,https://www.mpm.edu/wirp/ICW-141.html,404,"('Not Found', 'Nothing matches the given URI')",
13,130859,https://www.provostacademy.com/program_acccountability.html,404,"('Not Found', 'Nothing matches the given URI')",
13,273054,https://www.purplemath.com/modules/distform.htm,Success,,
13,268262,https://www.purplemath.com/modules/solvquad.htm,Success,,
13,275562,https://www.purplemath.com/modules/systlin1.htm,Success,,
13,280993,https://www.purplemath.com/modules/systlin2.htm,Success,,
13,281077,https://www.thoughtco.com/surface-area-and-volume-2312247,Success,,
13,272659,https://www.usgs.gov/,Success,,
13,275634,https://www.weather.gov/,Success,,
12,278060,https://avalon.law.yale.edu/subject_menus/wwii.asp,Success,,
12,279431,https://connect.discoveryeducation.com/index.cfm?&cdpartner=ba34-27gq&cduser=26da-9267&guidassetid=07b836f8-a20c-47ef-88d3-14071ab53520&amp;cdPartner=BA34-27GQ&amp;cdUser=26DA-9267,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=07b836f8-a20c-47ef-88d3-14071ab53520
12,279392,https://connect.discoveryeducation.com/index.cfm?&cdpartner=ba34-27gq&cduser=26da-9267&guidassetid=83560fe2-7ec4-4500-83c6-25e161de8b1c&amp;cdPartner=BA34-27GQ&amp;cdUser=26DA-9267,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=83560fe2-7ec4-4500-83c6-25e161de8b1c
12,282140,https://connect.discoveryeducation.com/index.cfm?&cdpartner=ba34-27gq&cduser=26da-9267&guidassetid=9b91ad44-360a-4fd8-9189-1b381d42b611&amp;cdPartner=BA34-27GQ&amp;cdUser=26DA-9267,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=9b91ad44-360a-4fd8-9189-1b381d42b611
12,282343,https://connect.discoveryeducation.com/index.cfm?&cdpartner=ba34-27gq&cduser=26da-9267&guidassetid=a7fdd133-0608-480f-b1aa-87a39658a8ae&amp;cdPartner=BA34-27GQ&amp;cdUser=26DA-9267,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=a7fdd133-0608-480f-b1aa-87a39658a8ae
12,211987,https://ia802308.us.archive.org/26/items/stories_003_librivox/monkeys_paw_jacobs.mp3,Success,,
12,278638,https://publicliterature.org/books/huckleberry_finn/xaa.php,404,"('Not Found', 'Nothing matches the given URI')",
12,276286,https://stattrek.com/online-calculator/binomial.aspx,Success,,
12,280951,https://tutorial.math.lamar.edu/classes/alg/rationalexpressions.aspx,Success,,
12,278480,https://www.bartleby.com/310/2/1.html,Success,,
12,282921,https://www.bea.gov/,Success,,
12,247455,https://www.chem.purdue.edu/404.html,Success,,
12,272399,https://www.classzone.com/books/earth_science/terc/content/visualizations/es1903/es1903page01.cfm?chapter_no=visualization,Success,,
12,279233,https://www.daypoems.net/poems/1900.html,Success,,
12,279157,https://www.english.emory.edu/classes/paintings&amp;poems/longfellow.html,404,"('Not Found', 'Nothing matches the given URI')",
12,279020,https://www.learner.org/interactives/literature/read/theme1.html,404,"('Not Found', 'Nothing matches the given URI')",
12,281000,https://www.math-videos-online.com/graph-linear-inequalities.html,Success,,
12,273132,https://www.mathopenref.com/similarsss.html,Success,,
12,250227,https://www.mathopenref.com/triangle454590.html,Success,,
12,271161,https://www.online-literature.com/coleridge/646/,Success,,
12,277735,https://www.pbs.org/retired-site/,Success,,
12,275967,https://www.pearson.com/us/higher-education.html,Success,,
12,130852,https://www.provostacademy.com/faq.html#Q9,404,"('Not Found', 'Nothing matches the given URI')",
12,281035,https://www.purplemath.com/modules/polyadd.htm,Success,,
12,268164,https://www.themathpage.com/Alg/perfect-square-trinomial.htm,Success,,
12,303393,https://www.thoughtco.com/about-igneous-rocks-1438950,Success,,
12,278927,https://www.usatoday.com,Success,,
12,217976,https://www.warpoetry.co.uk/owen1.html,Success,,
11,280799,https://connect.discoveryeducation.com/index.cfm?&cdpartner=ba34-27gq&cduser=26da-9267&guidassetid=31f9ec51-3e76-4ba2-8fe6-ce8de014208d&amp;cdPartner=BA34-27GQ&amp;cdUser=26DA-9267,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=31f9ec51-3e76-4ba2-8fe6-ce8de014208d
11,280806,https://connect.discoveryeducation.com/index.cfm?&cdpartner=ba34-27gq&cduser=26da-9267&guidassetid=6b5cd4e2-cef6-4851-8f67-f6c6018f6237&amp;cdPartner=BA34-27GQ&amp;cdUser=26DA-9267,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=6b5cd4e2-cef6-4851-8f67-f6c6018f6237
11,279216,https://en.wikipedia.org/wiki/Poetry_analysis,Success,,
11,278857,https://staff.esuhsd.org/danielle/English%20Department%20LVillage/informational.html,Failed,Failed to establish a connection,
11,272112,https://www.analyzemath.com/CircleEq/CircleEq.html,Success,,
11,270968,https://www.bartleby.com/101/625.html,Success,,
11,254509,https://www.bartleby.com/195/20.html,Success,,
11,304169,https://www.explorelearning.com/index.cfm?method=ccorp.dsptest,Success,,
11,205261,https://www.gutenberg.org/dirs/etext94/dgray10h.htm,404,"('Not Found', 'Nothing matches the given URI')",
11,217976,https://www.ibiblio.org/eldritch/hsun/hsun.htm#ahq,Success,,
11,304097,https://www.jstor.org/,Success,,
11,292363,https://www.landmarkcases.org/,Success,,
11,279416,https://www.nobelprize.org/prizes/literature/1949/faulkner/speech/,Success,,
11,277586,https://www.online-literature.com/crane/2540/,Success,,
11,278408,https://www.online-literature.com/hawthorne/158/,Success,,
11,270771,https://www.pagebypagebooks.com/Arthur_Conan_Doyle/The_Adventure_of_the_Dying_Detective/The_Adventure_of_the_Dying_Detective_p1.html,Success,,
11,274622,https://www.purplemath.com/modules/absolute.htm,Success,,
11,268369,https://www.purplemath.com/modules/exponent2.htm,Success,,
11,64304,https://www.thoughtco.com/the-german-alphabet-1444644,Success,,
11,276088,https://www.tibco.com/products/data-science,Success,,
11,271668,https://www.world-waterfalls.com/,Success,,
10,279131,https://art-bin.com/art/odisob.html,Success,,
10,130821,https://aurora-institute.org/,Success,,
10,278060,https://avalon.law.yale.edu/wwii/atlantic.asp,Success,,
10,278689,https://connect.discoveryeducation.com/index.cfm?&cdpartner=ba34-27gq&cduser=26da-9267&guidassetid=36da7023-736a-4a84-81bd-fecb9d830275&amp;cdPartner=BA34-27GQ&amp;cdUser=26DA-9267,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=36da7023-736a-4a84-81bd-fecb9d830275
10,278989,https://connect.discoveryeducation.com/index.cfm?&cdpartner=ba34-27gq&cduser=26da-9267&guidassetid=72a6bc04-59fa-43b8-a0cd-001a3dc14e4a&amp;cdPartner=BA34-27GQ&amp;cdUser=26DA-9267,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=72a6bc04-59fa-43b8-a0cd-001a3dc14e4a
10,282519,https://en.wikipedia.org/wiki/Hyperinflation,Success,,
10,277051,https://en.wikipedia.org/wiki/Western_schism,Success,,
10,272336,https://ga.water.usgs.gov/edu/waterproperties.html,404,"('Not Found', 'Nothing matches the given URI')",
10,280867,https://ieer.org/resource/classroom/scientific-notation/,Success,,
10,280867,https://janus.astro.umd.edu/cgi-bin/astro/scinote.pl,Success,,
10,259786,https://l-adam-mekler.com/things-fall-apart.pdf,404,"('Not Found', 'Nothing matches the given URI')",
10,278864,https://lrs.ed.uiuc.edu/students/fwalters/cause.html,Failed,Failed to establish a connection,
10,304017,https://poets.org/poem/romance-sonambulo,Success,,
10,303162,https://poets.org/poem/weary-blues,Success,,
10,123980,https://provostacademy.com/program_instruction.html,404,"('Not Found', 'Nothing matches the given URI')",
10,247308,https://wblrd.sk.ca/~chem30_dev/4_solutions/solution3_4.htm,Failed,Failed to establish a connection,
10,247200,"https://wps.prenhall.com/esm_hillpetrucci_genchem_4/0,8603,1078985-,00.html",Success,,
10,257588,https://wqed.pbslearningmedia.org/,Success,,
10,280937,https://www.aaamath.com/pro74b-propertiesmult.html,Success,,
10,130919,https://www.act.org/content/act/en/products-and-services/the-act.html,Success,,
10,130919,https://www.collegeboard.org/?student=,Success,,
10,253941,https://www.dalailama.com/messages/acceptance-speeches/nobel-peace-prize/nobel-peace-prize-nobel-lecture,Success,,
10,275231,https://www.ehow.com/,Success,,
10,272708,https://www.epa.gov/sites/production/files/signpost/cc.html,Success,,
10,304024,https://www.google.com/slides/about/,Success,,
10,270966,https://www.humanities.mcmaster.ca/~beowulf/main.html,Success,,
10,303351,https://www.ibiblio.org/ipa/poems/walker/for_my_people.php,Success,,
10,220916,https://www.interwise.com/support/PDF/82quickstart/QSC_Tests%20and%20Surveys_82.pdf,Failed,Failed to establish a connection,
10,220916,https://www.interwise.com/support/userdocs_att82_main.html,Failed,Failed to establish a connection,
10,276088,https://www.intmath.com/counting-probability/14-normal-probability-distribution.php,Success,,
10,303978,https://www.jspell.com/checker/,Success,,
10,274699,https://www.mathgoodies.com/lessons/vol7/order_operations.html,404,"('Not Found', 'Nothing matches the given URI')",
10,250362,https://www.mathwarehouse.com/geometry/circle/tangents-secants-arcs-angles.php,Success,,
10,209215,https://www.mindtools.com/CommSkll/ActiveListening.htm,Success,,
10,276583,https://www.nationalgeographic.com/magazine/,Success,,
10,278173,https://www.nato.int/,Success,,
10,282039,https://www.nhlbi.nih.gov/health/educational/lose_wt/BMI/bmicalc.htm,Success,,
10,278951,https://www.nytimes.com/books/best-sellers/,Success,,
10,278682,https://www.online-literature.com/poe/31/,Success,,
10,279164,https://www.online-literature.com/poe/576/,Success,,
10,253870,https://www.poemhunter.com/poem/the-swan-2/,Success,,
10,279013,https://www.poetry-archive.com/b/thanatopsis.html,Success,,
10,130874,https://www.provostacademy.com/community.html,404,"('Not Found', 'Nothing matches the given URI')",
10,268185,https://www.purplemath.com/modules/evaluate.htm,Success,,
10,268248,https://www.purplemath.com/modules/fcntrans.htm,Success,,
10,273717,https://www.purplemath.com/modules/graphlin.htm,Success,,
10,268872,https://www.purplemath.com/modules/ineqgrph.htm,Success,,
10,275480,https://www.purplemath.com/modules/investmt.htm,Success,,
10,268185,https://www.purplemath.com/modules/lcm_gcf.htm,Success,,
10,281028,https://www.purplemath.com/modules/vertq.htm,Success,,
10,235392,https://www.rkm.com.au/ANIMATIONS/animation-electrical-circuit.html,Success,,
10,280621,https://www.usa.gov/,Success,,
10,271515,https://www.usask.ca/english/prufrock/prustart.htm,Success,,
10,271997,https://www.usgs.gov/natural-hazards/earthquake-hazards/education,Success,,
10,250589,https://www.varsitytutors.com/hotmath/learning_activities/geometry_activities.html,Success,,
10,275361,https://www.wyzant.com/resources/lessons/math/algebra/slope/graph-worksheet,Success,,
9,282320,https://aflcio.org/,Success,,
9,242979,https://calendar.google.com/calendar/embed?src=pacol.provostacademy.com_hjv4ihvk26fipof8845p1dnhe0@group.calendar.google.com&amp;ctz=America/Denver;pvttk%3D37afbb89f753d2a179eb5dfb0ac3044e&amp;gsessionid=OK,Success,,
9,119702,https://caola.caiu.org/Family.aspx,404,"('Not Found', 'Nothing matches the given URI')",
9,119704,https://caola.caiu.org/Faq.aspx,404,"('Not Found', 'Nothing matches the given URI')",
9,247144,https://catalog.flatworldknowledge.com/bookhub/2273?e=ball-ch04_s04,404,"('Not Found', 'Nothing matches the given URI')",
9,277857,https://connect.discoveryeducation.com/index.cfm?&cdpartner=ba34-27gq&cduser=26da-9267&guidassetid=28a76056-f842-458b-a5b5-5e0bb30617db&amp;cdPartner=BA34-27GQ&amp;cdUser=26DA-9267,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=28a76056-f842-458b-a5b5-5e0bb30617db
9,279113,https://connect.discoveryeducation.com/index.cfm?&cdpartner=ba34-27gq&cduser=26da-9267&guidassetid=4574aaa9-ef9b-40ce-9e4d-484e3bf96a3f&amp;cdPartner=BA34-27GQ&amp;cdUser=26DA-9267,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=4574aaa9-ef9b-40ce-9e4d-484e3bf96a3f
